key,zh_Hans,zh_Hant,ja,en
character.alice,小艾,小艾,小艾,Xiao Ai
character.lin,阿林,阿林,阿林,A-Lin
character.lastlight_wan,林晚,林晚,林晚,Lin Wan
character.lastlight_zhou,周砚,周硯,周硯,Zhou Yan
character.lastlight_inner,我（内心）,我（內心）,私（心の声）,Me (inner voice)
speaker.unknown,？？？,？？？,？？？,???
text.last_light_m5.sample_open_line_1,（有些告别，是从一盏灯开始的。）,（有些告別，是從一盞燈開始的。）,（別れというものは、一つの灯りから始まることもある。）,(Some goodbyes begin with a single lamp.)
text.last_light_m5.sample_open_line_2,（那天傍晚，风把天台的铁门吹得轻轻响。我还不知道，自己会在这里说出名字。）,（那天傍晚，風把天台的鐵門吹得輕輕作響。我還不知道，自己會在這裡說出名字。）,（あの日の夕方、風が屋上の鉄扉をかすかに鳴らしていた。自分がここで名前を口にするなんて、まだ知らなかった。）,"(That evening, the wind made the rooftop's iron door creak softly. I didn't yet know that I would say a name up here.)"
text.last_light_m5.sample_open_line_3,（{playerName}。默念一遍，好像连那年夏天的温度都想起来了。）,（{playerName}。默念一遍，好像連那年夏天的溫度都想起來了。）,（{playerName}。そっと呟くと、あの夏の温度まで思い出せそうだった。）,"({playerName}. Just murmuring it once, I could almost recall the warmth of that summer.)"
text.last_light_m5.last_light_intro_e4_title,最后一盏灯,最後一盞燈,最後の一灯,The Last Lamp
text.last_light_m5.last_light_line_intro_001,天台的门在身后合上。雨后的栏杆还留着水珠，远处一排窗户逐渐亮起来。林晚站在最后一束夕光里，怀中抱着一个没有署名的信封。,天台的門在身後合上。雨後的欄杆還留著水珠，遠處一排窗戶逐漸亮起來。林晚站在最後一束夕光裡，懷中抱著一個沒有署名的信封。,"屋上の扉が背後で閉まった。雨上がりの手すりにはまだ雫が残り、遠くの窓が一列ずつ灯りはじめる。林晚は最後の夕陽の中に立ち、差出人のない封筒を抱えていた。","The rooftop door shut behind me. Raindrops still clung to the railing, and far off a row of windows was lighting up one by one. Lin Wan stood in the last of the sunset, holding an envelope with no name on it."
text.last_light_m5.last_light_line_intro_002,（我以为她约我上来，只是为了看最后一次日落。直到看见信封上熟悉的字，我才明白，有些告别从来没有真正说完。）,（我以為她約我上來，只是為了看最後一次日落。直到看見信封上熟悉的字，我才明白，有些告別從來沒有真正說完。）,（彼女が呼び出したのは、最後の夕日を見るためだけだと思っていた。封筒に見覚えのある字を見つけて、ようやく気づく。終わったはずの別れが、本当はまだ終わっていなかったのだと。）,"(I thought she had called me up here just to watch one last sunset. It wasn't until I saw the familiar handwriting on the envelope that I understood: some goodbyes are never really finished.)"
text.last_light_m5.last_light_line_intro_003,等这盏灯亮起来，我们就一起回去。,等這盞燈亮起來，我們就一起回去。,この灯りがついたら、一緒に帰ろう。,"Once this lamp comes on, we'll go back together."
